"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","Wayne Mccullough","Grant Golden","made",18,18,795,168
"3 punti sbagliato","","Kamar Baldwin","missed",33,33,405,840
"2 punti segnato","","Davide Denegri","made",48,48,1005,700
"3 punti segnato","Quinn Ellis","Andrejs Grazulis","made",63,63,1455,84
"2 punti sbagliato","","Grant Golden","missed",83,83,720,168
"2 punti segnato","Wayne Mccullough","Grant Golden","made",93,93,765,196
"2 punti segnato","","Quinn Ellis","made",113,113,825,140
"2 punti segnato","","Kamar Baldwin","made",147,147,510,140
"2 punti sbagliato","","Andrejs Grazulis","missed",174,174,735,140
"2 punti segnato","","Andrea Pecchia","made",181,181,915,336
"3 punti sbagliato","","Wayne Mccullough","missed",211,211,405,812
"2 punti segnato","Quinn Ellis","Paul Stephan Biligha","made",217,217,765,140
"3 punti segnato","","Kamar Baldwin","made",242,242,540,980
"2 punti segnato","Nathan Adrian","Andrea Pecchia","made",269,269,840,168
"2 punti segnato","Davide Alviti","Andrejs Grazulis","made",275,275,690,140
"2 punti segnato","Prentiss Hubb","Davide Alviti","made",299,299,855,140
"3 punti segnato","Toto Forray","Prentiss Hubb","made",366,366,330,756
"3 punti sbagliato","","Trevor Lacey","missed",393,393,810,1008
"3 punti sbagliato","","Toto Forray","missed",406,406,1275,672
"3 punti sbagliato","","Prentiss Hubb","missed",441,441,720,868
"3 punti sbagliato","","Marcus Zegarowski","missed",450,450,1470,280
"2 punti segnato","","Myles Stephens","made",492,492,660,168
"2 punti segnato","","Marcus Zegarowski","made",509,509,930,476
"3 punti segnato","Prentiss Hubb","Mattia Udom","made",529,529,45,168
"2 punti segnato","Marcus Zegarowski","Simone Zanotti","made",543,543,675,168
"3 punti sbagliato","","Prentiss Hubb","missed",563,563,135,588
"2 punti sbagliato","","Toto Forray","missed",569,569,795,448
"2 punti segnato","Prentiss Hubb","Derek Cooke","made",573,573,765,140
"3 punti segnato","","Trevor Lacey","made",598,598,1245,700
"3 punti sbagliato","","Kamar Baldwin","missed",23,623,75,476
"3 punti sbagliato","","Trevor Lacey","missed",57,657,1365,560
"3 punti sbagliato","","Wayne Mccullough","missed",67,667,1200,728
"2 punti segnato","Prentiss Hubb","Derek Cooke","made",71,671,720,140
"2 punti sbagliato","","Wayne Mccullough","missed",96,696,735,364
"2 punti sbagliato","","Wayne Mccullough","missed",97,697,840,336
"3 punti sbagliato","","Prentiss Hubb","missed",113,713,1350,588
"2 punti sbagliato","","Grant Golden","missed",126,726,855,252
"3 punti sbagliato","","Andrejs Grazulis","missed",146,746,1440,84
"2 punti segnato","","Trevor Lacey","made",183,783,660,728
"2 punti sbagliato","","Marcus Zegarowski","missed",205,805,1080,588
"2 punti segnato","","Nathan Adrian","made",206,806,1080,588
"2 punti sbagliato","","Paul Stephan Biligha","missed",220,820,720,588
"2 punti segnato","Grant Golden","Marcus Zegarowski","made",230,830,855,196
"2 punti sbagliato","","Paul Stephan Biligha","missed",246,846,870,616
"3 punti sbagliato","","Kamar Baldwin","missed",257,857,1440,420
"3 punti sbagliato","","Davide Alviti","missed",263,863,225,756
"2 punti segnato","Marcus Zegarowski","Grant Golden","made",270,870,855,224
"3 punti segnato","Kamar Baldwin","Andrejs Grazulis","made",285,885,255,728
"2 punti segnato","Marcus Zegarowski","Grant Golden","made",309,909,780,224
"2 punti segnato","","Marcus Zegarowski","made",319,919,795,224
"3 punti sbagliato","","Davide Alviti","missed",338,938,30,84
"2 punti sbagliato","","Grant Golden","missed",359,959,585,196
"3 punti segnato","Kamar Baldwin","Andrejs Grazulis","made",368,968,1410,504
"2 punti segnato","Andrea Pecchia","Wayne Mccullough","made",390,990,690,168
"2 punti segnato","","Kamar Baldwin","made",409,1009,1050,364
"2 punti sbagliato","","Wayne Mccullough","missed",464,1064,1095,476
"2 punti segnato","","Grant Golden","made",464,1064,1095,476
"3 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",476,1076,1365,560
"3 punti sbagliato","","Marcus Zegarowski","missed",496,1096,660,896
"2 punti sbagliato","","Simone Zanotti","missed",515,1115,915,588
"2 punti segnato","Andrea Pecchia","Simone Zanotti","made",530,1130,795,140
"2 punti sbagliato","","Paul Eboua","missed",557,1157,615,196
"2 punti segnato","Prentiss Hubb","Mattia Udom","made",561,1161,750,140
"2 punti sbagliato","","Andrejs Grazulis","missed",592,1192,180,196
"2 punti sbagliato","","Marcus Zegarowski","missed",599,1199,405,168
"2 punti segnato","Paul Stephan Biligha","Andrejs Grazulis","made",26,1226,720,140
"3 punti sbagliato","","Wayne Mccullough","missed",39,1239,315,756
"3 punti segnato","","Kamar Baldwin","made",53,1253,870,868
"2 punti sbagliato","","Grant Golden","missed",72,1272,645,168
"2 punti segnato","","Davide Denegri","made",76,1276,405,224
"3 punti sbagliato","","Quinn Ellis","missed",89,1289,45,112
"3 punti segnato","Andrejs Grazulis","Davide Alviti","made",102,1302,285,700
"2 punti sbagliato","","Kamar Baldwin","missed",148,1348,360,168
"3 punti sbagliato","","Andrejs Grazulis","missed",155,1355,615,868
"3 punti segnato","Andrea Pecchia","Davide Denegri","made",163,1363,705,896
"2 punti sbagliato","","Grant Golden","missed",198,1398,555,140
"3 punti sbagliato","","Davide Denegri","missed",202,1402,45,140
"3 punti segnato","Paul Stephan Biligha","Andrejs Grazulis","made",213,1413,480,840
"2 punti sbagliato","","Davide Denegri","missed",242,1442,1230,588
"2 punti segnato","","Andrea Pecchia","made",265,1465,855,196
"3 punti segnato","Kamar Baldwin","Quinn Ellis","made",278,1478,1455,336
"2 punti segnato","Marcus Zegarowski","Grant Golden","made",301,1501,720,196
"3 punti sbagliato","","Prentiss Hubb","missed",319,1519,1455,168
"3 punti sbagliato","","Nathan Adrian","missed",330,1530,1455,364
"2 punti sbagliato","","Kamar Baldwin","missed",351,1551,720,504
"3 punti segnato","Trevor Lacey","Marcus Zegarowski","made",360,1560,720,896
"3 punti segnato","Trevor Lacey","Marcus Zegarowski","made",406,1606,570,868
"2 punti segnato","","Prentiss Hubb","made",430,1630,870,224
"3 punti segnato","","Marcus Zegarowski","made",451,1651,990,868
"2 punti sbagliato","","Prentiss Hubb","missed",465,1665,585,308
"2 punti segnato","","Paul Eboua","made",483,1683,750,140
"3 punti segnato","Prentiss Hubb","Mattia Udom","made",507,1707,1455,140
"3 punti sbagliato","","Mattia Udom","missed",540,1740,1455,224
"3 punti sbagliato","","Trevor Lacey","missed",559,1759,1215,756
"2 punti sbagliato","","Toto Forray","missed",586,1786,1065,280
"2 punti sbagliato","","Grant Golden","missed",599,1799,765,420
"2 punti segnato","","Trevor Lacey","made",599,1799,765,420
"2 punti segnato","Prentiss Hubb","Paul Stephan Biligha","made",17,1817,870,224
"2 punti sbagliato","","Paul Eboua","missed",44,1844,615,224
"2 punti sbagliato","","Mattia Udom","missed",51,1851,900,224
"2 punti segnato","","Myles Stephens","made",51,1851,900,224
"2 punti segnato","","Wayne Mccullough","made",69,1869,405,588
"3 punti sbagliato","","Prentiss Hubb","missed",78,1878,1155,812
"2 punti sbagliato","","Kamar Baldwin","missed",92,1892,930,476
"2 punti sbagliato","","Trevor Lacey","missed",112,1912,900,168
"2 punti segnato","","Trevor Lacey","made",119,1919,600,448
"3 punti sbagliato","","Myles Stephens","missed",131,1931,765,896
"3 punti sbagliato","","Wayne Mccullough","missed",141,1941,495,868
"3 punti sbagliato","","Myles Stephens","missed",155,1955,1455,252
"3 punti sbagliato","","Simone Zanotti","missed",178,1978,960,896
"2 punti sbagliato","","Kamar Baldwin","missed",191,1991,915,168
"2 punti segnato","","Paul Stephan Biligha","made",191,1991,915,168
"2 punti segnato","","Paul Eboua","made",211,2011,945,504
"2 punti sbagliato","","Marcus Zegarowski","missed",238,2038,570,196
"3 punti sbagliato","","Paul Eboua","missed",249,2049,1320,672
"2 punti segnato","Davide Alviti","Kamar Baldwin","made",266,2066,735,364
"2 punti sbagliato","","Marcus Zegarowski","missed",280,2080,690,168
"2 punti sbagliato","","Marcus Zegarowski","missed",286,2086,840,224
"2 punti sbagliato","","Kamar Baldwin","missed",292,2092,570,224
"3 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",303,2103,1455,224
"3 punti sbagliato","","Davide Denegri","missed",328,2128,900,924
"2 punti sbagliato","","Davide Denegri","missed",348,2148,870,140
"2 punti segnato","","Grant Golden","made",370,2170,690,196
"3 punti sbagliato","","Davide Denegri","missed",401,2201,435,812
"3 punti segnato","","Trevor Lacey","made",418,2218,360,784
"2 punti sbagliato","","Paul Stephan Biligha","missed",432,2232,630,140
"2 punti segnato","Grant Golden","Andrea Pecchia","made",441,2241,660,168
"3 punti sbagliato","","Davide Alviti","missed",461,2261,765,896
"2 punti segnato","","Mattia Udom","made",462,2262,750,140
"2 punti segnato","Trevor Lacey","Grant Golden","made",480,2280,780,140
"3 punti segnato","Kamar Baldwin","Andrejs Grazulis","made",495,2295,855,868
"2 punti segnato","","Andrea Pecchia","made",514,2314,660,168
"2 punti sbagliato","","Kamar Baldwin","missed",534,2334,1050,532
"2 punti sbagliato","","Marcus Zegarowski","missed",547,2347,885,224
"2 punti sbagliato","","Kamar Baldwin","missed",575,2375,1095,504
"2 punti sbagliato","","Marcus Zegarowski","missed",595,2395,675,224
"3 punti sbagliato","","Nathan Adrian","missed",597,2397,1170,784
"2 punti sbagliato","","Kyle Weems","missed",16,16,990,532
"2 punti sbagliato","","Aamir Simms","missed",41,41,1080,168
"3 punti sbagliato","","Retin Obasohan","missed",67,67,825,924
"2 punti segnato","Amedeo Tessitori","Marco Spissu","made",80,80,810,112
"2 punti segnato","Marco Spissu","Amedeo Tessitori","made",97,97,720,140
"3 punti sbagliato","","Mike Daum","missed",120,120,1170,868
"3 punti sbagliato","","Kyle Weems","missed",124,124,375,784
"2 punti sbagliato","","Retin Obasohan","missed",134,134,690,196
"2 punti sbagliato","","Aamir Simms","missed",170,170,930,448
"2 punti sbagliato","","Mike Daum","missed",190,190,375,196
"2 punti segnato","","Amedeo Tessitori","made",208,208,840,168
"2 punti sbagliato","","Tashawn Thomas","missed",265,265,855,728
"2 punti segnato","","Rayjon Tucker","made",283,283,675,252
"3 punti sbagliato","","Jordan Parks","missed",290,290,1320,644
"2 punti segnato","Chris Dowe","Mike Daum","made",310,310,840,196
"2 punti segnato","Marco Spissu","Amedeo Tessitori","made",323,323,675,168
"2 punti sbagliato","","Kyle Weems","missed",341,341,630,168
"3 punti sbagliato","","Tommaso Baldasso","missed",355,355,1455,280
"2 punti sbagliato","","Chris Dowe","missed",366,366,735,196
"2 punti sbagliato","","Aamir Simms","missed",373,373,705,196
"2 punti segnato","Retin Obasohan","Mike Daum","made",380,380,825,140
"2 punti sbagliato","","Retin Obasohan","missed",409,409,975,196
"2 punti segnato","Retin Obasohan","Leon Radosevic","made",418,418,900,168
"3 punti sbagliato","","Kyle Wiltjer","missed",441,441,120,532
"3 punti sbagliato","","Tommaso Baldasso","missed",466,466,990,812
"3 punti sbagliato","","Alex O'Connell","missed",483,483,75,364
"2 punti segnato","","Leonardo Candi","made",500,500,825,644
"2 punti sbagliato","","Alex O'Connell","missed",520,520,630,168
"2 punti segnato","Alex O'Connell","Kyle Wiltjer","made",530,530,705,168
"2 punti sbagliato","","Chris Dowe","missed",535,535,645,364
"2 punti segnato","","Jordan Parks","made",542,542,765,560
"2 punti sbagliato","","Davide Casarin","missed",578,578,990,532
"2 punti segnato","","Leonardo Candi","made",599,599,630,560
"2 punti segnato","","Davide Casarin","made",14,614,795,448
"2 punti sbagliato","","Luca Severini","missed",40,640,1170,336
"3 punti sbagliato","","Luca Severini","missed",74,674,1035,868
"3 punti sbagliato","","Davide Casarin","missed",93,693,735,924
"2 punti sbagliato","","Leon Radosevic","missed",112,712,1065,196
"3 punti segnato","Davide Casarin","Kyle Wiltjer","made",123,723,315,756
"3 punti sbagliato","","Kyle Wiltjer","missed",146,746,405,896
"2 punti segnato","","Leonardo Candi","made",158,758,435,224
"2 punti segnato","","Alex O'Connell","made",172,772,405,504
"3 punti sbagliato","","Tommaso Baldasso","missed",189,789,315,812
"2 punti segnato","","Alex O'Connell","made",208,808,840,168
"3 punti sbagliato","","Riccardo Tavernelli","missed",234,834,915,896
"3 punti sbagliato","","Davide Casarin","missed",249,849,345,784
"2 punti sbagliato","","Leonardo Candi","missed",260,860,1065,672
"2 punti sbagliato","","Leonardo Candi","missed",272,872,720,196
"2 punti sbagliato","","Rayjon Tucker","missed",286,886,765,420
"2 punti sbagliato","","Rayjon Tucker","missed",292,892,690,196
"2 punti segnato","","Barry Brown Jr","made",314,914,855,224
"2 punti sbagliato","","Mike Daum","missed",336,936,690,560
"3 punti sbagliato","","Chris Dowe","missed",396,996,975,868
"2 punti sbagliato","","Aamir Simms","missed",406,1006,630,140
"3 punti sbagliato","","Barry Brown Jr","missed",423,1023,420,812
"2 punti sbagliato","","Retin Obasohan","missed",444,1044,990,560
"2 punti sbagliato","","Kyle Weems","missed",495,1095,825,364
"2 punti segnato","","Tashawn Thomas","made",500,1100,720,224
"2 punti segnato","Marco Spissu","Aamir Simms","made",510,1110,705,168
"2 punti sbagliato","","Chris Dowe","missed",525,1125,840,196
"2 punti segnato","","Kyle Weems","made",530,1130,825,140
"3 punti sbagliato","","Jordan Parks","missed",540,1140,300,784
"2 punti sbagliato","","Kyle Weems","missed",553,1153,435,224
"3 punti sbagliato","","Kyle Wiltjer","missed",566,1166,1215,784
"2 punti sbagliato","","Mike Daum","missed",588,1188,1110,224
"3 punti sbagliato","","Marco Spissu","missed",25,1225,1095,840
"2 punti segnato","Retin Obasohan","Chris Dowe","made",43,1243,885,140
"3 punti segnato","Jordan Parks","Marco Spissu","made",62,1262,780,868
"2 punti sbagliato","","Mike Daum","missed",81,1281,660,140
"2 punti sbagliato","","Aamir Simms","missed",90,1290,810,196
"3 punti sbagliato","","Retin Obasohan","missed",98,1298,1410,420
"2 punti sbagliato","","Mike Daum","missed",105,1305,660,168
"2 punti segnato","","Jordan Parks","made",116,1316,810,420
"2 punti segnato","Retin Obasohan","Mike Daum","made",135,1335,675,168
"3 punti segnato","Marco Spissu","Aamir Simms","made",154,1354,1425,504
"2 punti segnato","","Chris Dowe","made",166,1366,945,280
"3 punti segnato","Marco Spissu","Aamir Simms","made",190,1390,1305,728
"2 punti sbagliato","","Retin Obasohan","missed",209,1409,645,196
"2 punti sbagliato","","Leonardo Candi","missed",211,1411,585,140
"3 punti sbagliato","","Marco Spissu","missed",224,1424,540,868
"3 punti sbagliato","","Chris Dowe","missed",236,1436,1275,700
"2 punti sbagliato","","Aamir Simms","missed",249,1449,855,224
"2 punti sbagliato","","Jordan Parks","missed",252,1452,885,168
"2 punti segnato","","Chris Dowe","made",264,1464,750,476
"3 punti sbagliato","","Rayjon Tucker","missed",281,1481,780,896
"2 punti sbagliato","","Aamir Simms","missed",285,1485,735,224
"2 punti segnato","Chris Dowe","Tashawn Thomas","made",297,1497,705,168
"2 punti sbagliato","","Jordan Parks","missed",315,1515,720,196
"2 punti sbagliato","","Retin Obasohan","missed",321,1521,870,168
"3 punti sbagliato","","Barry Brown Jr","missed",337,1537,1125,812
"2 punti segnato","","Jordan Parks","made",367,1567,705,224
"2 punti segnato","","Mike Daum","made",389,1589,675,252
"2 punti sbagliato","","Kyle Wiltjer","missed",413,1613,915,336
"2 punti segnato","","Kyle Wiltjer","made",419,1619,675,196
"2 punti sbagliato","","Tashawn Thomas","missed",437,1637,645,252
"2 punti segnato","","Kyle Wiltjer","made",457,1657,885,420
"3 punti sbagliato","","Tommaso Baldasso","missed",477,1677,825,952
"2 punti sbagliato","","Barry Brown Jr","missed",489,1689,795,504
"3 punti sbagliato","","Kyle Weems","missed",501,1701,1200,812
"2 punti segnato","","Retin Obasohan","made",529,1729,735,224
"2 punti segnato","","Kyle Wiltjer","made",561,1761,720,280
"3 punti sbagliato","","Tommaso Baldasso","missed",582,1782,315,868
