,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,2 punti segnato,Wayne Mccullough,Grant Golden,made,18,18,795.0,168.0,0
1,3 punti sbagliato,,Kamar Baldwin,missed,33,33,405.0,840.0,6
2,2 punti segnato,,Davide Denegri,made,48,48,1005.0,700.0,3
3,3 punti segnato,Quinn Ellis,Andrejs Grazulis,made,63,63,1455.0,84.0,8
4,2 punti sbagliato,,Grant Golden,missed,83,83,720.0,168.0,0
5,2 punti segnato,Wayne Mccullough,Grant Golden,made,93,93,765.0,196.0,0
6,2 punti segnato,,Quinn Ellis,made,113,113,825.0,140.0,0
7,2 punti segnato,,Kamar Baldwin,made,147,147,510.0,140.0,0
8,2 punti sbagliato,,Andrejs Grazulis,missed,174,174,735.0,140.0,0
9,2 punti segnato,,Andrea Pecchia,made,181,181,915.0,336.0,0
10,3 punti sbagliato,,Wayne Mccullough,missed,211,211,405.0,812.0,6
11,2 punti segnato,Quinn Ellis,Paul Stephan Biligha,made,217,217,765.0,140.0,0
12,3 punti segnato,,Kamar Baldwin,made,242,242,540.0,980.0,6
13,2 punti segnato,Nathan Adrian,Andrea Pecchia,made,269,269,840.0,168.0,0
14,2 punti segnato,Davide Alviti,Andrejs Grazulis,made,275,275,690.0,140.0,0
15,2 punti segnato,Prentiss Hubb,Davide Alviti,made,299,299,855.0,140.0,0
16,3 punti segnato,Toto Forray,Prentiss Hubb,made,366,366,330.0,756.0,6
17,3 punti sbagliato,,Trevor Lacey,missed,393,393,810.0,1008.0,7
18,3 punti sbagliato,,Toto Forray,missed,406,406,1275.0,672.0,7
19,3 punti sbagliato,,Prentiss Hubb,missed,441,441,720.0,868.0,6
20,3 punti sbagliato,,Marcus Zegarowski,missed,450,450,1470.0,280.0,8
21,2 punti segnato,,Myles Stephens,made,492,492,660.0,168.0,0
22,2 punti segnato,,Marcus Zegarowski,made,509,509,930.0,476.0,3
23,3 punti segnato,Prentiss Hubb,Mattia Udom,made,529,529,45.0,168.0,5
24,2 punti segnato,Marcus Zegarowski,Simone Zanotti,made,543,543,675.0,168.0,0
25,3 punti sbagliato,,Prentiss Hubb,missed,563,563,135.0,588.0,6
26,2 punti sbagliato,,Toto Forray,missed,569,569,795.0,448.0,3
27,2 punti segnato,Prentiss Hubb,Derek Cooke,made,573,573,765.0,140.0,0
28,3 punti segnato,,Trevor Lacey,made,598,598,1245.0,700.0,7
29,3 punti sbagliato,,Kamar Baldwin,missed,23,623,75.0,476.0,5
30,3 punti sbagliato,,Trevor Lacey,missed,57,657,1365.0,560.0,7
31,3 punti sbagliato,,Wayne Mccullough,missed,67,667,1200.0,728.0,7
32,2 punti segnato,Prentiss Hubb,Derek Cooke,made,71,671,720.0,140.0,0
33,2 punti sbagliato,,Wayne Mccullough,missed,96,696,735.0,364.0,0
34,2 punti sbagliato,,Wayne Mccullough,missed,97,697,840.0,336.0,0
35,3 punti sbagliato,,Prentiss Hubb,missed,113,713,1350.0,588.0,7
36,2 punti sbagliato,,Grant Golden,missed,126,726,855.0,252.0,0
37,3 punti sbagliato,,Andrejs Grazulis,missed,146,746,1440.0,84.0,8
38,2 punti segnato,,Trevor Lacey,made,183,783,660.0,728.0,2
39,2 punti sbagliato,,Marcus Zegarowski,missed,205,805,1080.0,588.0,3
40,2 punti segnato,,Nathan Adrian,made,206,806,1080.0,588.0,3
41,2 punti sbagliato,,Paul Stephan Biligha,missed,220,820,720.0,588.0,2
42,2 punti segnato,Grant Golden,Marcus Zegarowski,made,230,830,855.0,196.0,0
43,2 punti sbagliato,,Paul Stephan Biligha,missed,246,846,870.0,616.0,3
44,3 punti sbagliato,,Kamar Baldwin,missed,257,857,1440.0,420.0,8
45,3 punti sbagliato,,Davide Alviti,missed,263,863,225.0,756.0,6
46,2 punti segnato,Marcus Zegarowski,Grant Golden,made,270,870,855.0,224.0,0
47,3 punti segnato,Kamar Baldwin,Andrejs Grazulis,made,285,885,255.0,728.0,6
48,2 punti segnato,Marcus Zegarowski,Grant Golden,made,309,909,780.0,224.0,0
49,2 punti segnato,,Marcus Zegarowski,made,319,919,795.0,224.0,0
50,3 punti sbagliato,,Davide Alviti,missed,338,938,30.0,84.0,5
51,2 punti sbagliato,,Grant Golden,missed,359,959,585.0,196.0,0
52,3 punti segnato,Kamar Baldwin,Andrejs Grazulis,made,368,968,1410.0,504.0,8
53,2 punti segnato,Andrea Pecchia,Wayne Mccullough,made,390,990,690.0,168.0,0
54,2 punti segnato,,Kamar Baldwin,made,409,1009,1050.0,364.0,3
55,2 punti sbagliato,,Wayne Mccullough,missed,464,1064,1095.0,476.0,3
56,2 punti segnato,,Grant Golden,made,464,1064,1095.0,476.0,3
57,3 punti segnato,Prentiss Hubb,Andrejs Grazulis,made,476,1076,1365.0,560.0,7
58,3 punti sbagliato,,Marcus Zegarowski,missed,496,1096,660.0,896.0,6
59,2 punti sbagliato,,Simone Zanotti,missed,515,1115,915.0,588.0,3
60,2 punti segnato,Andrea Pecchia,Simone Zanotti,made,530,1130,795.0,140.0,0
61,2 punti sbagliato,,Paul Eboua,missed,557,1157,615.0,196.0,0
62,2 punti segnato,Prentiss Hubb,Mattia Udom,made,561,1161,750.0,140.0,0
63,2 punti sbagliato,,Andrejs Grazulis,missed,592,1192,180.0,196.0,1
64,2 punti sbagliato,,Marcus Zegarowski,missed,599,1199,405.0,168.0,1
65,2 punti segnato,Paul Stephan Biligha,Andrejs Grazulis,made,26,1226,720.0,140.0,0
66,3 punti sbagliato,,Wayne Mccullough,missed,39,1239,315.0,756.0,6
67,3 punti segnato,,Kamar Baldwin,made,53,1253,870.0,868.0,7
68,2 punti sbagliato,,Grant Golden,missed,72,1272,645.0,168.0,0
69,2 punti segnato,,Davide Denegri,made,76,1276,405.0,224.0,1
70,3 punti sbagliato,,Quinn Ellis,missed,89,1289,45.0,112.0,5
71,3 punti segnato,Andrejs Grazulis,Davide Alviti,made,102,1302,285.0,700.0,6
72,2 punti sbagliato,,Kamar Baldwin,missed,148,1348,360.0,168.0,1
73,3 punti sbagliato,,Andrejs Grazulis,missed,155,1355,615.0,868.0,6
74,3 punti segnato,Andrea Pecchia,Davide Denegri,made,163,1363,705.0,896.0,6
75,2 punti sbagliato,,Grant Golden,missed,198,1398,555.0,140.0,0
76,3 punti sbagliato,,Davide Denegri,missed,202,1402,45.0,140.0,5
